А,1286
Б,1754
В,549
Г,1046
Д,799
Е,108
Ё,0
Ж,424
З,664
И,367
Й,4
К,2411
Л,732
М,1350
Н,495
О,834
П,1858
Р,607
С,1903
Т,1049
У,280
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Ъ,0
Ы,0
Ь,0
Э,234
Ю,147
Я,222
